project,Buginducing,Date,Modifiedfiles,LOC,TotalFixing,Bugfixing,FixingFiles,Tag,commitmessage
netket/netket,66ec443c41b762616d79c252ae6d411adb474cbe,2019-06-07T16:07:54Z,"{'CMakeLists.txt': 4, 'Sources/Machine/abstract_machine.hpp': 3, 'Sources/Machine/jastrow.cc': 214, 'Sources/Machine/jastrow.hpp': 234, 'Sources/Machine/jastrow_symm.cc': 308, 'Sources/Machine/jastrow_symm.hpp': 311, 'Sources/Machine/mps_periodic.cc': 584, 'Sources/Machine/mps_periodic.hpp': 599, 'Sources/Machine/py_mps_periodic.hpp': 11, 'Sources/Machine/rbm_spin_symm.cc': 405, 'Sources/Machine/rbm_spin_symm.hpp': 426, 'netket/machine.py': 4}",3103,3,"{'2d4866ebc3619c91c9f8348fbeabc51f7f2f4fc3', '9f88da1062d2e33089a370f1e0b4188cce70be14', '95bc849fad9391ebf064720c26d254233de42ad9'}","{'Sources/Machine/mps_periodic.cc', 'Sources/Machine/mps_periodic.hpp', 'Sources/Machine/py_mps_periodic.hpp', 'CMakeLists.txt'}",TRUE,
QE-Lab/OpenQL,25e000d051792fb059fa5ad1e2acbacf5a94fe1c,2019-06-07T15:46:41Z,"{'ql/kernel.h': 21, 'ql/unitary.h': 94}",115,6,"{'972a9293cd7552c89cdb57eb66a6d0ca9f104d45', '8106bd4f88734ac451a12c94d2c9ddfa80768915', 'c02d343aba4a691d317ff639f296dc565f904299', '13d94b305141d528164004ce178ae78409a17dc9', 'a001a0f0fc77d3b6125457641e766c287c80bbd2', '40c5e5abbc206d9070ce4f4db5cfd237c4c78e3e'}","{'ql/unitary.h', 'ql/kernel.h'}",TRUE,
LCPQ/quantum_package,60164de0c05bb6035b9e58ae0458ac02a4393fa9,2017-03-29T23:13:27Z,"{'plugins/CAS_SD_ZMQ/selection.irp.f': 8, 'plugins/Full_CI_ZMQ/selection_buffer.irp.f': 19, 'plugins/Full_CI_ZMQ/selection_types.f90': 6, 'plugins/mrcepa0/EZFIO.cfg': 2, 'src/Bitmask/bitmasks.irp.f': 7, 'src/Davidson/u0Hu0.irp.f': 4, 'src/Determinants/density_matrix.irp.f': 189, 'src/Determinants/slater_rules.irp.f': 372, 'src/Determinants/spindeterminants.irp.f': 45, 'src/Utils/constants.include.F': 1, 'tests/bats/cassd.bats': 4, 'tests/bats/fci.bats': 6}",663,5,"{'7db4bf509b9f673c6dd933e33752ef69dfe38a03', '1f9687153410ede39332b0cfc13aa7458ab08232', '2beeb454a448c2679102fc398183ec351d5c707c', '93f750d38ff26f80127a18cf7c1c5f67de669cef', '660e87bb30e25c249b8d41de0f4d5b74ff40b592'}","{'tests/bats/fci.bats', 'src/Determinants/density_matrix.irp.f', 'plugins/CAS_SD_ZMQ/selection.irp.f', 'src/Determinants/slater_rules.irp.f'}",TRUE,
BBN-Q/Qlab,25a9cfddd87cce218b0ba310a7c6b44d710fad3a,2013-06-06T01:29:08Z,{'common/+MeasFilters/MeasFilter.m': 6},6,1,{'972c6e345f6a20f294285691b4e5e53d5ddea1c9'},{'common/+MeasFilters/MeasFilter.m'},TRUE,
QMCPACK/qmcpack,e44976d9466bec84475bbec85b0c042988fca56d,2006-11-25T22:56:25Z,"{'src/QMCWaveFunctions/PlaneWave/PWOrbitalBuilder.cpp': 514, 'src/QMCWaveFunctions/PlaneWave/PWOrbitalBuilder.h': 56}",570,2,"{'617be1727b27db6a7c3635eee83b1c247103b1a9', 'c6060440de25c69b3f590d0a1fec68558008003b'}","{'src/QMCWaveFunctions/PlaneWave/PWOrbitalBuilder.cpp', 'src/QMCWaveFunctions/PlaneWave/PWOrbitalBuilder.h'}",TRUE,
votca/xtp,bfbe9f8c1acc4b6272076a9114ef1c6ed3c1cb88,2013-12-10T17:57:30Z,"{'include/votca/kmc/event.h': 79, 'include/votca/kmc/eventinfo.h': 15, 'include/votca/kmc/events.h': 270, 'include/votca/kmc/graphdevice.h': 43, 'include/votca/kmc/state.h': 5, 'include/votca/kmc/statedevice.h': 20, 'src/libkmc/calculators/diode.h': 47}",479,8,"{'e1819bf747520cae6a144369fabaf6833bdde9ff', '8b82a597cb5e7efe7d9435f495f2170ae532ad7b', '405de48f267e2238843b88bb77a15103e9386100', '0972f125194283e092af50bd00917658494c91a9', '5826d1831df1994d957028cd3b5728a07cf8d6c8', 'b7e2f6c2cce9998f269e738f3d877ca8de87adcb', 'cc5fac7349a6aa0e59bdf4d139c8633795a6cc56', '11a23ec276ba774892cdbd0500df8a084c4a52fe'}","{'src/libkmc/calculators/diode.h', 'include/votca/kmc/events.h', 'include/votca/kmc/event.h', 'include/votca/kmc/graphdevice.h'}",TRUE,
MolSSI/QCFractal,72c9caffa41486cb1bd8e9fb9e4f9f5c90bdf59e,2018-10-31T14:07:29Z,"{'qcfractal/storage_sockets/models.py': 33, 'qcfractal/storage_sockets/mongoengine_socket.py': 4, 'qcfractal/tests/test_mongoengine_socket.py': 14}",51,1,{'1a32177767048411b03fd17c06b7c38bfe54fa30'},{'qcfractal/tests/test_mongoengine_socket.py'},TRUE,
tmancal74/quantarhei,c8fa5ee176ed272008ae393cfae5196e309a5b37,2016-11-21T14:54:34Z,"{'examples/demo6_absorption.py': 19, 'quantarhei/builders/aggregates.py': 172, 'quantarhei/spectroscopy/abs.py': 42}",233,1,{'263defac08b74bf56fec5435768f1eff36ebc849'},{'quantarhei/builders/aggregates.py'},TRUE,
Qiskit/qiskit-terra,9a53f8994740c3786bd75d037bb7ae1201f9de72,2019-06-27T14:34:42Z,"{'qiskit/pulse/commands/instruction.py': 54, 'qiskit/pulse/ops.py': 5, 'qiskit/pulse/schedule.py': 50}",109,6,"{'1ec9f43eea32e0800a6efe4a318702256b137372', '5bdee8cf84d8e74efb046d395706c663ce88e5bf', '7e1bcab5bb503048566a40575a6e80c7c09ce906', '12b07bc2034bf41a567a5197fb95b7b05962092b', '5111e24391516bcc7ec8630915dfda9c3d8ae53d', '87de2755eb673ff48ddf7e267d6a65f09dd3aacf'}","{'qiskit/pulse/schedule.py', 'qiskit/pulse/commands/instruction.py'}",Unclear,
BBN-Q/PyQLab,07a472b99626dec28fde6dcb7d68883db6e54499,2016-08-25T13:34:25Z,"{'ExpSettingsGUI.py': 106, 'instruments/InstrumentManager.py': 100}",206,1,{'054252bdc15a7fa815132e0615b4c810764e3849'},{'instruments/InstrumentManager.py'},TRUE,
pyscf/pyscf,56ddc48245f8dd8f8c00003f339efc0f67430e3b,2019-02-27T05:03:07Z,{'pyscf/pbc/cc/eom_kccsd_ghf.py': 55},55,1,{'b278ceb77af8c24fe1dcf9bfb74eb347f22fd265'},{'pyscf/pbc/cc/eom_kccsd_ghf.py'},TRUE,
MolSSI-BSE/basis_set_exchange,bd4b9fd7ea7678cdb2e9c7fab582561cd0e43c78,2019-04-19T15:20:22Z,"{'basis_set_exchange/curate/compare.py': 8, 'basis_set_exchange/sort.py': 49}",57,2,"{'e79110aaeb65f392ed5032420322dee3336948f7', '5cc57875866b9a84cf91cf4603c08cd29e7a15e2'}","{'basis_set_exchange/sort.py', 'basis_set_exchange/curate/compare.py'}",TRUE,
QE-Lab/OpenQL,dd41eaad96d58f5ffc9946677beff37f3405d812,2017-08-13T20:22:49Z,"{'openql/makefile': 3, 'openql/openql.h': 101, 'openql/openql.i': 80, 'ql/dependenceGraph.h': 4, 'ql/kernel.h': 30, 'ql/program.h': 2, 'setup.py': 1}",221,6,"{'b97064ba49bf5c0363dff9634c26df0e4a928bc6', '6cba9154fd28384a1d566110cf00b9ed7cb33cfd', '26f9d5ec74aa7f31552eec812285fe6f1d886b34', 'fb1442e0a63464ff51b5659b64a14b9f0d2bff30', 'b1d7ffcc18d44c1409ab9e5f57e03896a17f42f8', 'abc1bef47e932a93f718033b7e3bd96e3068d883'}","{'openql/openql.h', 'openql/makefile', 'ql/scheduler.h', 'ql/kernel.h'}",TRUE,
BBN-Q/Qlab,ad0e2910be2a10496e9326fed2cc68a378020c15,2012-01-10T15:51:55Z,"{'common/src/+deviceDrivers/@APS/lib/Makefile': 88, 'common/src/+deviceDrivers/@APS/lib/aps.h': 7, 'common/src/+deviceDrivers/@APS/lib/fpga.c': 30, 'common/src/+deviceDrivers/@APS/lib/fpga.h': 12, 'common/src/+deviceDrivers/@APS/lib/libaps.c': 2133, 'common/src/+deviceDrivers/@APS/lib/libaps.dll': 0, 'common/src/+deviceDrivers/@APS/lib/libaps.h': 8, 'common/src/+deviceDrivers/@APS/lib/libaps64.dll': 0, 'common/src/+deviceDrivers/@APS/lib/test.c': 44, 'common/src/+deviceDrivers/@APS/lib/waveform.c': 89, 'common/src/+deviceDrivers/@APS/lib/waveform.h': 15}",2426,3,"{'8ac4e0c25c6645ba99abd0c718dc5cf77194ffe2', '8433038bc89cb91227bbd1a9164ff852b23e2be4', '2996cec274c0b3f7e5c8672753f1545a6f4ba6c0'}","{'common/src/+deviceDrivers/@APS/lib/libaps.c', 'common/src/+deviceDrivers/@APS/lib/waveform.h', 'common/src/+deviceDrivers/@APS/lib/waveform.c'}",TRUE,
QMCPACK/qmcpack,e4b2122e1b09c02c990f4b358e48325bf1088d9c,2018-04-15T20:42:47Z,"{'src/QMCWaveFunctions/SplineAdoptorReaderP.h': 14, 'src/QMCWaveFunctions/SplineHybridAdoptorReaderP.h': 7, 'src/QMCWaveFunctions/einspline_helper.hpp': 23}",44,1,{'bcaef7ee957f4808d2bb71a895d3d68f104fe6c0'},"{'src/QMCWaveFunctions/SplineAdoptorReaderP.h', 'src/QMCWaveFunctions/SplineHybridAdoptorReaderP.h'}",TRUE,
hande-qmc/hande,0d3315d7476d491c4375b5f1d79c6feaac237259,2016-05-28T13:02:55Z,{'tools/pyhande/pyhande/lazy.py': 15},15,2,"{'e974d7ed63954c375955c3e4d0b1dc717f60c416', 'ed10a5bdba2371298aeea92e0d2c93981a0a13b8'}",{'tools/pyhande/pyhande/lazy.py'},TRUE,
cp2k/cp2k,251dcd0c4524be9640ccb15fddef77b53150460c,2002-12-07T10:00:19Z,"{'src/cp_fm_types.F': 1, 'src/environment.F': 2, 'src/global_types.F': 24, 'src/qs_ep_methods.F': 192, 'src/qs_ep_types.F': 127, 'src/qs_p_types.F': 26, 'src/qs_p_utils.F': 34}",406,14,"{'7c029820f6325833a12b72382d5c6fd71c582c98', 'f536d498fc63be285687e59035dd501cb65db0f7', '555f7ac59d6e96d434cc70e82544ae1b0243daf5', 'aafbda4cd85a1489f527104e386cd6fa8c5c2a83', '598147d55ffe2fb3e555321f28348b8db5b5ca52', 'b5b7bb3a5de0ed897d43f9198b356465148210dd', '51fd7b852e77fa7f6d32c7effe8b97a123c8498d', 'ab96413be9f0f898528edc3722b39624d5f438dd', '8caf595e695722e0e3fe22347e9ac6839cd8c352', '329a6ee2d2c4a8d81da2212c092e6003f1c49709', '1d90eaf84d6c2491204d137ca3a61058a3ad7b98', '4a0914d8d33af6ffa5096e22630172967cf9b2a0', '126d74b1cb7754d9009f1dc788aa588abb219573', '30e1e39f03e8c18f4939cd060f0df744e92547a9'}","{'src/qs_ep_methods.F', 'src/qs_ep_types.F', 'src/qs_p_env_methods.F'}",TRUE,
SoftwareQuTech/SimulaQron,7b23efc3c24bc09f0be61dc4121069fc18f231e9,2017-08-31T09:42:23Z,"{'cqc/backend/cqcHeader.py': 1, 'cqc/backend/cqcProtocol.py': 16, 'cqc/cLib/cqc.c': 46, 'cqc/cLib/cqc.h': 13, 'tests/runTests.sh': 5, 'virtNode/crudeSimulator.py': 10, 'virtNode/quantum.py': 7, 'virtNode/virtual.py': 8}",106,6,"{'80f2e6383c8386c72d40fd367d7cea26e4e83e0e', '4794ced066950be3336e4cb432eb4a5240c17261', '6897eda6165a34bca73ce8b1f5a6c50b9118202f', 'c67ef830acac91376531f1de84e3b8175042479b', '304a4435d9bb31a64b5f4f99938391d6138d2fa7', '86b6bf0224ee0f25c7417b42a58e0b536a4c28b6'}","{'tests/runTests.sh', 'virtNode/virtual.py', 'virtNode/crudeSimulator.py'}",TRUE,
cp2k/cp2k,3cb28f74d49a9d2d3369696c6b9182108173150b,2008-12-11T14:02:53Z,"{'src/distribution_optimize.F': 67, 'src/input_constants.F': 3, 'src/input_cp2k_distribution.F': 11}",81,1,{'95586934184900e0550a851eba11503a6746a2bd'},{'src/distribution_optimize.F'},TRUE,
XanaduAI/pennylane,cf1f5576214b9765a9e9ebf3fdb17198c99633d4,2018-10-10T17:14:20Z,"{'doc/optimize.rst': 2, 'openqml/__init__.py': 2, 'openqml/_optimize.py': 154, 'openqml/optimize/__init__.py': 57, 'openqml/optimize/adagrad.py': 42, 'openqml/optimize/adam.py': 60, 'openqml/optimize/gradient_descent.py': 50, 'openqml/optimize/momentum.py': 40, 'openqml/optimize/nesterov_momentum.py': 40, 'openqml/optimize/rms_prop.py': 34, 'openqml/optimizer.py': 354, 'tests/test_optimize.py': 271}",1106,5,"{'02227f56c76c578715a2288aa9b6293cafc8edbf', 'd8d2f93184b87f8ca40c30e4b84eb2b749a17a6c', 'd4d1029ab8430dc1878dcf1ac1fd77703416853f', 'b45ed9c92701a221c62e1d2efb549b18b56974af', '99396dc884444a63784d1f19eb57305c97b4a893'}","{'openqml/optimize/momentum.py', 'openqml/optimize/nesterov_momentum.py', 'openqml/optimize/adagrad.py', 'pennylane/optimize/gradient_descent.py', 'pennylane/optimize/__init__.py', 'openqml/optimize/rms_prop.py', 'openqml/optimize/gradient_descent.py', 'openqml/optimize/adam.py'}",Unclear,
jcmgray/quimb,a6b89e974a5e5c6c4982b83e7ff7d1ce8f508487,2016-02-15T14:36:36Z,{'quijy/core.py': 62},62,1,{'e0a5830a700b0e8f09fe055bcbf62c01ee3c6d7d'},{'quijy/core.py'},TRUE,
qcdb/qcdb,2507f9c96741bfb202a5158c86091eeaa666be1e,2019-05-08T21:08:28Z,"{'qcdb/intf_nwchem/harvester.py': 28, 'qcdb/moptions/read_options2.py': 5}",33,1,{'6ffe885a1eb304f9673567b4bc168fe97b7dae97'},{'qcdb/programs/nwchem/harvester.py'},TRUE,
Qiskit/qiskit-terra,d78f72590b2bfa3ec2558743289f81bd2c7120a9,2017-09-09T20:02:55Z,"{'qiskit/_quantumprogram.py': 4, 'test/python/test_quantumprogram.py': 3}",7,4,"{'6a9ae04b49076f03a448621459c23f9401b1a68c', '6a6d00b89678ac231e1b7289fd57bf33dca101f1', '1657d77d2c0cb5599345586193d9aec9e867f2e4', 'ea993b421ac8624b7f28c6e4413c21dc9b5813de'}","{'qiskit/_quantumprogram.py', 'test/python/test_quantumprogram.py'}",TRUE,
hande-qmc/hande,e4106fc987e1b4b88e8d26369c59392d88517549,2013-10-31T17:34:42Z,{'config/gfortran': 5},5,1,{'a6ed96d9e3002c6a445f3b5454dba80aa20f3c55'},{'config/gfortran'},TRUE,
quantumlib/Cirq,21e0081f2e8389d190c61cabbe81ce1fee6d7c11,2018-06-19T19:15:45Z,{'python2.7-generate.sh': 1},1,1,{'54d391af42958fcb337e3a5cf79cc49b75a8d3d0'},{'dev_tools/python2.7-generate.sh'},FALSE,
Qiskit/qiskit-terra,8fc60bb1f3562144cb1771779d79dd792f986256,2017-03-27T19:19:59Z,"{'qiskit_sdk/_barrier.py': 2, 'qiskit_sdk/_classicalregister.py': 4, 'qiskit_sdk/_compositegate.py': 22, 'qiskit_sdk/_cxbase.py': 4, 'qiskit_sdk/_gate.py': 20, 'qiskit_sdk/_instruction.py': 22, 'qiskit_sdk/_instructionset.py': 8, 'qiskit_sdk/_measure.py': 4, 'qiskit_sdk/_program.py': 6, 'qiskit_sdk/_quantumregister.py': 4, 'qiskit_sdk/_reset.py': 2, 'qiskit_sdk/_ubase.py': 5, 'qiskit_sdk/extensions/standard/cx.py': 4, 'qiskit_sdk/extensions/standard/iden.py': 2, 'qiskit_sdk/extensions/standard/u1.py': 3, 'qiskit_sdk/extensions/standard/u2.py': 4, 'qiskit_sdk/extensions/standard/u3.py': 5, 'rippleadd.py': 49, 'teleport.py': 27, 'testsdkskel.py': 6}",203,14,"{'51dd1245008b398fceca3b12041261b540f21179', 'db2b2c6f01ec893c732e61fc09d37da2052c616b', '2c39096cacd2c1ba82bade39fd30a5bb654bb47f', 'dd528c0c2398cb9bda80178027bccd39b596113c', '0b0583793eb74280037229b39874b12c0e08a78e', '675a645cb6a6164d8efe5907754f6591956058f5', '68405bdc1ddba1fbc7b5ca5269f9cfe0570a60d0', '8a1422364e0dca950ce6a8affaf9091ef34ed79c', '4b4bb0c5c3df3d1140327e7c199bf145a186f6f2', '6a6d00b89678ac231e1b7289fd57bf33dca101f1', '40d7481a719b32204cdf90335efaaaf5da3f9d73', 'f69dcd6add4c8dea9a8519e51e7a8ade0edae37e', 'e74c0568e3891f8904070ff234d9d56c9090c130', '12bbc237b64ce395dec92a6032e95d77334cc344'}","{'testsdkskel.py', 'qiskit/_instruction.py', 'qiskit/_instructionset.py', 'qiskit/_cxbase.py', 'qiskit/_quantumcircuit.py', 'qiskit/circuit/gate.py', 'qiskit/_barrier.py', 'qiskit/_classicalregister.py', 'qiskit/extensions/standard/u2.py', 'qiskit/_measure.py', 'qiskit/extensions/standard/ubase.py', 'qiskit/_reset.py', 'teleport.py', 'qiskit/_gate.py', 'qiskit/extensions/standard/iden.py', 'qiskit/_compositegate.py', 'qiskit/extensions/standard/cx.py', 'rippleadd.py', 'qiskit/_quantumregister.py', 'qiskit/extensions/standard/u1.py', 'qiskit/circuit/instructionset.py', 'qiskit/extensions/standard/u3.py'}",Unclear,
ValeevGroup/mpqc,f99c4f2f9b4c096552fb0ecabab2247b1280b0d2,2016-08-29T14:26:06Z,"{'examples/mpqc.cpp': 34, 'src/mpqc/chemistry/qc/integrals/make_engine.h': 31, 'src/mpqc/chemistry/qc/scf/cadf_builder.h': 385, 'src/mpqc/chemistry/qc/scf/cadf_fitting_coeffs.h': 656}",1106,2,"{'ce8d8c372138270e5922419a857f576fa5948ba6', 'bf3138abdd7b7ac22232d239a934f6d1dd3f263f'}","{'src/mpqc/chemistry/qc/lcao/scf/cadf_builder.h', 'src/mpqc/chemistry/qc/scf/cadf_builder.h'}",TRUE,
cp2k/cp2k,90c42a7186931a7b56a0597ffb0dcdfacaf3cf4c,2009-07-20T12:35:49Z,"{'src/ai_coulomb_test.F': 12, 'src/ai_geminals.F': 9, 'src/basis_set_types.F': 16, 'src/qs_geminals.F': 44}",81,2,"{'af4325b85b1c32062259c88bf3b9a18018e2d323', 'd33c77952be47c00e051c465551cb657efd93e62'}","{'src/ai_geminals.F', 'src/qs_geminals.F'}",TRUE,
pyscf/pyscf,f1a864f8c3d611e6154bf2269a598b5aac589c6d,2016-03-08T21:38:29Z,"{'future/hessian/__init__.py': 11, 'future/hessian/rhf.py': 368, 'future/hessian/rks.py': 746}",1125,3,"{'80ada4e53408a724dc96b775da493117f75b199a', 'bc02e541478b9aa1759acb4f43584ffebd25decb', 'f5ab7750b7ba367129455a9672d9e499aa72da11'}","{'hessian/rks.py', 'pyscf/hessian/rks.py', 'future/hessian/rks.py', 'future/hessian/rhf.py'}",TRUE,
dwavesystems/dwave-system,19734928af0ddf2e2370917470e516895dfcdf1c,2018-03-06T18:10:39Z,"{'dwave/system/embedding/__init__.py': 1, 'dwave/system/embedding/embedding.py': 0, 'setup.py': 3}",4,1,{'3f9c58fb99b5507d1ac84ef12e026003020c1259'},{'setup.py'},TRUE,
cp2k/cp2k,2a4ac0442f2af4c0ea9f3605a74f3d3e47ef08bf,2009-04-30T20:31:39Z,"{'src/ai_spin_orbit.F': 5, 'src/qs_spin_orbit.F': 14, 'tests/QS/regtest-spin-spin-1/TEST_FILES_RESET': 6}",25,1,{'68656ed67e24525a4e29b7e8913feb107818c946'},"{'src/ai_spin_orbit.F', 'src/qs_spin_orbit.F'}",TRUE,
pyscf/pyscf,19c78b7b21fc92810d6c935612394e9abf48fde0,2017-11-03T10:05:34Z,"{'pyscf/nao/nao.py': 2, 'pyscf/nao/test/H.ion': 5529, 'pyscf/nao/test/H.ion.xml': 5574, 'pyscf/nao/test/O.ion': 8041, 'pyscf/nao/test/O.ion.xml': 8101, 'pyscf/nao/test/test_0032_exc.py': 2, 'pyscf/nao/test/test_0041_rescf_nao.py': 4, 'pyscf/nao/test/water.EIG': 8, 'pyscf/nao/test/water.HSX': 0, 'pyscf/nao/test/water.fullBZ.WFSX': 0}",27261,1,{'8c222b216b1f75922b9be374808dd18e2f240c49'},{'pyscf/nao/test/test_0041_rescf_nao.py'},TRUE,
