Category,Project,Severity,Frequency,Total,Percentage
ToolKit,forest-benchmarking,Critical,3.1538702909014904e-06,2.4034021687799465e-05,13.123
ToolKit,forest-benchmarking,Major,1.3356497670787292e-05,2.4034021687799465e-05,55.573
ToolKit,forest-benchmarking,Minor,7.094789338037926e-06,2.4034021687799465e-05,29.52
ToolKit,forest-benchmarking,NBlocker,4.288643880727547e-07,2.4034021687799465e-05,1.784
ToolKit,python-qinfer,Critical,7.322491038246827e-06,3.105875997496662e-05,23.576
ToolKit,python-qinfer,Major,1.4362771966150923e-05,3.105875997496662e-05,46.244
ToolKit,python-qinfer,Minor,5.245254729237969e-06,3.105875997496662e-05,16.888
ToolKit,python-qinfer,NBlocker,4.128242241330899e-06,3.105875997496662e-05,13.292
ToolKit,QGIS-visibility-analysis,Critical,1.0378541402571893e-05,2.2737344612620378e-05,45.645
ToolKit,QGIS-visibility-analysis,Major,7.759833628184303e-06,2.2737344612620378e-05,34.128
ToolKit,QGIS-visibility-analysis,Minor,4.5989695818641845e-06,2.2737344612620378e-05,20.227
ToolKit,QGIS-visibility-analysis,NBlocker,0.0,2.2737344612620378e-05,0.0
ToolKit,QUBEKit,Critical,1.5289360870212966e-05,2.985707664164064e-05,51.208
ToolKit,QUBEKit,Major,5.006988573633637e-06,2.985707664164064e-05,16.77
ToolKit,QUBEKit,Minor,7.373482556816789e-06,2.985707664164064e-05,24.696
ToolKit,QUBEKit,NBlocker,2.187244640977248e-06,2.985707664164064e-05,7.326
ToolKit,quantum,Critical,2.4717405045890126e-05,4.81409159031878e-05,51.344
ToolKit,quantum,Major,2.1836640937022832e-05,4.81409159031878e-05,45.36
ToolKit,quantum,Minor,5.138033161652431e-07,4.81409159031878e-05,1.067
ToolKit,quantum,NBlocker,1.0730666041096066e-06,4.81409159031878e-05,2.229
ToolKit,openstack-quantum-puppet,Critical,0.0,0.0,0
ToolKit,openstack-quantum-puppet,Major,0.0,0.0,0
ToolKit,openstack-quantum-puppet,Minor,0.0,0.0,0
ToolKit,openstack-quantum-puppet,NBlocker,0.0,0.0,0
ToolKit,tweedledum,Critical,0.0,0.0,0
ToolKit,tweedledum,Major,0.0,0.0,0
ToolKit,tweedledum,Minor,0.0,0.0,0
ToolKit,tweedledum,NBlocker,0.0,0.0,0
ToolKit,triqs,Critical,9.033883948403359e-06,3.790876065928635e-05,23.831
ToolKit,triqs,Major,1.7964454827164446e-05,3.790876065928635e-05,47.389
ToolKit,triqs,Minor,6.37817909104704e-06,3.790876065928635e-05,16.825
ToolKit,triqs,NBlocker,4.532242792671504e-06,3.790876065928635e-05,11.956
ToolKit,qtt,Critical,2.5383309966951863e-06,1.3158602559415616e-05,19.29
ToolKit,qtt,Major,8.787624730555488e-06,1.3158602559415616e-05,66.782
ToolKit,qtt,Minor,1.2309473001320071e-06,1.3158602559415616e-05,9.355
ToolKit,qtt,NBlocker,6.016995320329343e-07,1.3158602559415616e-05,4.573
ToolKit,quantumrandom,Critical,2.9206571705208115e-05,0.00011520716074261801,25.351
ToolKit,quantumrandom,Major,7.205155756286528e-05,0.00011520716074261801,62.541
ToolKit,quantumrandom,Minor,1.3949031474544628e-05,0.00011520716074261801,12.108
ToolKit,quantumrandom,NBlocker,0.0,0.00011520716074261801,0.0
ToolKit,qucat,Critical,7.387167699588489e-07,2.7524291247481536e-06,26.839
ToolKit,qucat,Major,1.1703047386587613e-06,2.7524291247481536e-06,42.519
ToolKit,qucat,Minor,7.911349985358453e-07,2.7524291247481536e-06,28.743
ToolKit,qucat,NBlocker,5.227261759469821e-08,2.7524291247481536e-06,1.899
ToolKit,qiskit-ignis,Critical,2.9789926577026703e-05,6.239950729870188e-05,47.741
ToolKit,qiskit-ignis,Major,2.372165291470223e-05,6.239950729870188e-05,38.016
ToolKit,qiskit-ignis,Minor,8.887927806972945e-06,6.239950729870188e-05,14.244
ToolKit,qiskit-ignis,NBlocker,0.0,6.239950729870188e-05,0.0
ToolKit,orbkit,Critical,1.2913291003548256e-05,2.2261014740429393e-05,58.009
ToolKit,orbkit,Major,4.82711958891032e-06,2.2261014740429393e-05,21.684
ToolKit,orbkit,Minor,2.7326325164091424e-06,2.2261014740429393e-05,12.275
ToolKit,orbkit,NBlocker,1.7879716315616766e-06,2.2261014740429393e-05,8.032
ToolKit,deepchem,Critical,2.4317514611457762e-06,1.2574898646283459e-05,19.338
ToolKit,deepchem,Major,7.91838047138149e-06,1.2574898646283459e-05,62.97
ToolKit,deepchem,Minor,1.8646143151921664e-06,1.2574898646283459e-05,14.828
ToolKit,deepchem,NBlocker,3.601523985640272e-07,1.2574898646283459e-05,2.864
ToolKit,aiida-quantumespresso,Critical,2.7591087243839995e-05,3.854965705221491e-05,71.573
ToolKit,aiida-quantumespresso,Major,8.118051398320388e-06,3.854965705221491e-05,21.059
ToolKit,aiida-quantumespresso,Minor,1.3399101696087876e-06,3.854965705221491e-05,3.476
ToolKit,aiida-quantumespresso,NBlocker,1.500608240445742e-06,3.854965705221491e-05,3.893
Assembly,qmasm,Critical,2.3605097807404088e-05,3.322911103402789e-05,71.037
Assembly,qmasm,Major,5.508438543395566e-06,3.322911103402789e-05,16.577
Assembly,qmasm,Minor,2.132830268576902e-06,3.322911103402789e-05,6.419
Assembly,qmasm,NBlocker,1.9827444146513324e-06,3.322911103402789e-05,5.967
Assembly,blackbird,Critical,1.3902993836865277e-06,5.046514343323526e-06,27.55
Assembly,blackbird,Major,2.043024888359972e-06,5.046514343323526e-06,40.484
Assembly,blackbird,Minor,1.304092919370225e-06,5.046514343323526e-06,25.841
Assembly,blackbird,NBlocker,3.090971519068017e-07,5.046514343323526e-06,6.125
Assembly,pyqgl2,Critical,3.4806064406075757e-06,1.5503136728696718e-05,22.451
Assembly,pyqgl2,Major,7.465530602942142e-06,1.5503136728696718e-05,48.155
Assembly,pyqgl2,Minor,3.033167935835341e-06,1.5503136728696718e-05,19.565
Assembly,pyqgl2,NBlocker,1.52383174931166e-06,1.5503136728696718e-05,9.829
Assembly,qubiter,Critical,9.39945807917773e-06,3.81457499234348e-05,24.641
Assembly,qubiter,Major,1.4033203157167146e-05,3.81457499234348e-05,36.788
Assembly,qubiter,Minor,7.510601752454404e-06,3.81457499234348e-05,19.689
Assembly,qubiter,NBlocker,7.202486934635519e-06,3.81457499234348e-05,18.881
Assembly,QGL.jl,Critical,0.0,0.0,0
Assembly,QGL.jl,Major,0.0,0.0,0
Assembly,QGL.jl,Minor,0.0,0.0,0
Assembly,QGL.jl,NBlocker,0.0,0.0,0
Quantum Annealing,sqaod,Critical,4.704362906211454e-07,3.6999696503507026e-05,1.271
Quantum Annealing,sqaod,Major,1.7949819206041944e-05,3.6999696503507026e-05,48.513
Quantum Annealing,sqaod,Minor,1.6367211611210692e-05,3.6999696503507026e-05,44.236
Quantum Annealing,sqaod,NBlocker,2.212229395633246e-06,3.6999696503507026e-05,5.979
Quantum Annealing,qbsolv,Critical,2.4974373576351553e-05,7.283634852554212e-05,34.288
Quantum Annealing,qbsolv,Major,3.817237514260807e-05,7.283634852554212e-05,52.408
Quantum Annealing,qbsolv,Minor,9.689599806582491e-06,7.283634852554212e-05,13.303
Quantum Annealing,qbsolv,NBlocker,0.0,7.283634852554212e-05,0.0
Quantum Annealing,dimod,Critical,4.769292873376195e-06,2.7159008203147555e-05,17.561
Quantum Annealing,dimod,Major,1.0090227227543816e-05,2.7159008203147555e-05,37.152
Quantum Annealing,dimod,Minor,1.1180985194742591e-05,2.7159008203147555e-05,41.169
Quantum Annealing,dimod,NBlocker,1.1185029074849501e-06,2.7159008203147555e-05,4.118
Quantum Annealing,dwave-system,Critical,5.708228663014921e-06,2.6498253128726838e-05,21.542
Quantum Annealing,dwave-system,Major,8.469201393846835e-06,2.6498253128726838e-05,31.961
Quantum Annealing,dwave-system,Minor,9.728949752161381e-06,2.6498253128726838e-05,36.715
Quantum Annealing,dwave-system,NBlocker,2.591873319703698e-06,2.6498253128726838e-05,9.781
Quantum Annealing,dwavebinarycsp,Critical,2.887193330096772e-05,0.00012569832723626108,22.969
Quantum Annealing,dwavebinarycsp,Major,4.5040477635538125e-05,0.00012569832723626108,35.832
Quantum Annealing,dwavebinarycsp,Minor,1.94338911961085e-05,0.00012569832723626108,15.461
Quantum Annealing,dwavebinarycsp,NBlocker,3.2352025103646725e-05,0.00012569832723626108,25.738
Quantum Annealing,penaltymodel,Critical,2.110111941757464e-05,9.819484138771032e-05,21.489
Quantum Annealing,penaltymodel,Major,3.78855613793292e-05,9.819484138771032e-05,38.582
Quantum Annealing,penaltymodel,Minor,7.144846929687496e-06,9.819484138771032e-05,7.276
Quantum Annealing,penaltymodel,NBlocker,3.206331366111898e-05,9.819484138771032e-05,32.653
Compiler,qsharp-compiler,Critical,0.0,0.0,0
Compiler,qsharp-compiler,Major,0.0,0.0,0
Compiler,qsharp-compiler,Minor,0.0,0.0,0
Compiler,qsharp-compiler,NBlocker,0.0,0.0,0
Compiler,OpenQL,Critical,3.771847211986956e-08,1.2323396678904877e-06,3.061
Compiler,OpenQL,Major,1.1464086073364554e-06,1.2323396678904877e-06,93.027
Compiler,OpenQL,Minor,4.632885167453116e-08,1.2323396678904877e-06,3.759
Compiler,OpenQL,NBlocker,1.8837367596316226e-09,1.2323396678904877e-06,0.153
Compiler,pyzx,Critical,5.257197464109169e-05,6.437458071635784e-05,81.666
Compiler,pyzx,Major,9.588959699694767e-06,6.437458071635784e-05,14.896
Compiler,pyzx,Minor,1.4309120396376306e-06,6.437458071635784e-05,2.223
Compiler,pyzx,NBlocker,7.827343359337626e-07,6.437458071635784e-05,1.216
Full-stack Library,qiskit-terra,Critical,1.5712788875356194e-05,3.468336833861686e-05,45.304
Full-stack Library,qiskit-terra,Major,1.5857837188664534e-05,3.468336833861686e-05,45.722
Full-stack Library,qiskit-terra,Minor,2.05606727808613e-06,3.468336833861686e-05,5.928
