categories,repos,repo_id,interval,commits,cloc
Quantum-Chemistry,SebWouters/CheMPS2,6,30,296,714859
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,30,574,2073500
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,60,589,2082019
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,90,596,2082853
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,120,597,2083411
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,150,598,2083465
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,180,598,2083427
Quantum-Chemistry,QMCPACK/qmcpack,8,30,8028,21473138
Quantum-Chemistry,QMCPACK/qmcpack,8,60,8423,22174040
Quantum-Chemistry,QMCPACK/qmcpack,8,90,8798,25435242
Quantum-Chemistry,QMCPACK/qmcpack,8,120,8759,25520373
Quantum-Chemistry,QMCPACK/qmcpack,8,150,8707,23813392
Quantum-Chemistry,QMCPACK/qmcpack,8,180,8608,24177848
Quantum-Chemistry,cp2k/cp2k,9,90,8597,4883318
Quantum-Chemistry,cp2k/cp2k,9,120,8595,4832571
Quantum-Chemistry,cp2k/cp2k,9,150,8742,4963336
Quantum-Chemistry,cp2k/cp2k,9,180,8788,5034621
Quantum-Chemistry,cp2k/cp2k,9,30,8564,4765998
Quantum-Chemistry,cp2k/cp2k,9,60,8520,4836812
Quantum-Chemistry,votca/xtp,10,30,3635,5950247
Quantum-Chemistry,votca/xtp,10,60,3675,5957909
Quantum-Chemistry,votca/xtp,10,90,3679,5958369
Quantum-Chemistry,votca/xtp,10,120,3682,5958361
Quantum-Chemistry,votca/xtp,10,150,3684,5959740
Quantum-Chemistry,votca/xtp,10,180,3683,5958494
Quantum-Chemistry,hande-qmc/hande,11,30,1254,1949588
Quantum-Chemistry,hande-qmc/hande,11,60,1138,1478925
Quantum-Chemistry,hande-qmc/hande,11,90,1174,1318064
Quantum-Chemistry,hande-qmc/hande,11,120,1173,1486292
Quantum-Chemistry,hande-qmc/hande,11,150,1151,1295527
Quantum-Chemistry,hande-qmc/hande,11,180,1405,1678008
Quantum-Chemistry,tmancal74/quantarhei,12,30,542,630016
Quantum-Chemistry,tmancal74/quantarhei,12,60,557,632333
Quantum-Chemistry,tmancal74/quantarhei,12,90,562,633005
Quantum-Chemistry,tmancal74/quantarhei,12,120,565,633864
Quantum-Chemistry,tmancal74/quantarhei,12,150,566,633865
Quantum-Chemistry,tmancal74/quantarhei,12,180,566,633865
Quantum-Chemistry,LCPQ/quantum_package,13,180,1399,7698968
Quantum-Chemistry,LCPQ/quantum_package,13,150,1398,7697996
Quantum-Chemistry,LCPQ/quantum_package,13,120,1397,7697994
Quantum-Chemistry,LCPQ/quantum_package,13,90,1393,7691785
Quantum-Chemistry,LCPQ/quantum_package,13,60,1385,7691123
Quantum-Chemistry,LCPQ/quantum_package,13,30,1358,7688596
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,120,90,9788
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,150,88,9110
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,180,90,9816
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,90,85,8923
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,60,78,8777
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,30,53,6421
Quantum-Chemistry,ericchansen/q2mm,15,180,319,525501
Quantum-Chemistry,ericchansen/q2mm,15,120,316,495668
Quantum-Chemistry,ericchansen/q2mm,15,150,319,495982
Quantum-Chemistry,ericchansen/q2mm,15,90,313,495554
Quantum-Chemistry,ericchansen/q2mm,15,60,305,466110
Quantum-Chemistry,ericchansen/q2mm,15,30,280,321797
Quantum-Chemistry,aoterodelaroza/critic2,16,30,937,2638379
Quantum-Chemistry,aoterodelaroza/critic2,16,60,949,2652433
Quantum-Chemistry,aoterodelaroza/critic2,16,90,950,2652444
Quantum-Chemistry,aoterodelaroza/critic2,16,120,952,2652479
Quantum-Chemistry,aoterodelaroza/critic2,16,150,952,2652479
Quantum-Chemistry,aoterodelaroza/critic2,16,180,952,2652479
Quantum-Chemistry,GQCG/GQCP,17,30,1277,1297065
Quantum-Chemistry,GQCG/GQCP,17,60,1255,1173864
Quantum-Chemistry,GQCG/GQCP,17,90,1290,1298154
Quantum-Chemistry,GQCG/GQCP,17,120,1259,1173983
Quantum-Chemistry,GQCG/GQCP,17,150,1200,1162314
Quantum-Chemistry,GQCG/GQCP,17,180,1159,1122111
